time_per_frame: 0.03926, fps: 26.263
time_per_frame: 0.0555379, fps: 25.7469
time_per_frame: 0.0414513, fps: 25.6455
time_per_frame: 0.0440988, fps: 25.4599
time_per_frame: 0.0297146, fps: 25.972
time_per_frame: 0.0304812, fps: 26.3992
time_per_frame: 0.0328381, fps: 26.6526
time_per_frame: 0.048628, fps: 26.272
time_per_frame: 0.034552, fps: 26.4389
time_per_frame: 0.0363659, fps: 26.5051
time_per_frame: 0.0384646, fps: 26.4734
time_per_frame: 0.0397461, fps: 26.3913
time_per_frame: 0.0416052, fps: 26.2441
time_per_frame: 0.0433603, fps: 26.0452
time_per_frame: 0.0619962, fps: 25.4255
time_per_frame: 0.0314027, fps: 25.8267
time_per_frame: 0.0329106, fps: 26.1116
time_per_frame: 0.0377232, fps: 26.1364
time_per_frame: 0.0394598, fps: 26.0868
time_per_frame: 0.0397654, fps: 26.0281
time_per_frame: 0.0417664, fps: 25.8978
time_per_frame: 0.0591467, fps: 25.3358
time_per_frame: 0.0452909, fps: 25.1323
time_per_frame: 0.0322871, fps: 25.4973
time_per_frame: 0.0296589, fps: 26.011
time_per_frame: 0.030813, fps: 26.4137
time_per_frame: 0.0336553, fps: 26.6199
time_per_frame: 0.0339292, fps: 26.7982
time_per_frame: 0.0526759, fps: 26.3098
time_per_frame: 0.0378771, fps: 26.3156
time_per_frame: 0.0387545, fps: 26.2835
time_per_frame: 0.0407478, fps: 26.1746
time_per_frame: 0.0424253, fps: 26.0119
time_per_frame: 0.0432867, fps: 25.83
time_per_frame: 0.0600401, fps: 25.2566
time_per_frame: 0.0289222, fps: 25.8391
time_per_frame: 0.0325237, fps: 26.1458
time_per_frame: 0.0328016, fps: 26.4171
time_per_frame: 0.0353288, fps: 26.5351
time_per_frame: 0.0373979, fps: 26.5479
time_per_frame: 0.0390886, fps: 26.4876
time_per_frame: 0.0568248, fps: 25.932
time_per_frame: 0.042573, fps: 25.7793
time_per_frame: 0.0447045, fps: 25.5661
time_per_frame: 0.0305826, fps: 26.0119
time_per_frame: 0.0308247, fps: 26.4138
time_per_frame: 0.0317805, fps: 26.7295
time_per_frame: 0.0344554, fps: 26.8729
time_per_frame: 0.0506254, fps: 26.4279
time_per_frame: 0.0386145, fps: 26.3947
time_per_frame: 0.0389124, fps: 26.3512
time_per_frame: 0.0397986, fps: 26.2746
time_per_frame: 0.0407522, fps: 26.1661
time_per_frame: 0.0426678, fps: 25.9956
time_per_frame: 0.0609328, fps: 25.3966
time_per_frame: 0.032403, fps: 25.7381
time_per_frame: 0.0341943, fps: 25.9573
time_per_frame: 0.0353496, fps: 26.103
time_per_frame: 0.037651, fps: 26.1315
time_per_frame: 0.0384941, fps: 26.1219
time_per_frame: 0.038729, fps: 26.1031
time_per_frame: 0.0551046, fps: 25.6059
time_per_frame: 0.0427564, fps: 25.4673
time_per_frame: 0.0434362, fps: 25.3144
time_per_frame: 0.0291724, fps: 25.8747
time_per_frame: 0.0304498, fps: 26.3101
time_per_frame: 0.0311865, fps: 26.6698
time_per_frame: 0.0342504, fps: 26.8277
time_per_frame: 0.0509703, fps: 26.3772
time_per_frame: 0.0375197, fps: 26.3944
time_per_frame: 0.0390959, fps: 26.3434
time_per_frame: 0.0400859, fps: 26.2561
time_per_frame: 0.0417711, fps: 26.1113
time_per_frame: 0.0434074, fps: 25.9192
time_per_frame: 0.0277793, fps: 26.5491
time_per_frame: 0.0470647, fps: 26.2178
time_per_frame: 0.0324475, fps: 26.5054
time_per_frame: 0.0344146, fps: 26.6649
time_per_frame: 0.0351169, fps: 26.7781
time_per_frame: 0.0372141, fps: 26.7839
time_per_frame: 0.0378899, fps: 26.7594
time_per_frame: 0.0550361, fps: 26.2226
time_per_frame: 0.0415352, fps: 26.0884
time_per_frame: 0.0426514, fps: 25.9233
time_per_frame: 0.0432167, fps: 25.7493
time_per_frame: 0.0291231, fps: 26.286
time_per_frame: 0.0302223, fps: 26.7111
time_per_frame: 0.0345601, fps: 26.8501
time_per_frame: 0.0501611, fps: 26.418
time_per_frame: 0.0353215, fps: 26.5363
time_per_frame: 0.0379971, fps: 26.5227
time_per_frame: 0.038229, fps: 26.4999
time_per_frame: 0.040374, fps: 26.3917
time_per_frame: 0.0404065, fps: 26.289
time_per_frame: 0.0431642, fps: 26.0939
time_per_frame: 0.061268, fps: 25.4831
time_per_frame: 0.0416777, fps: 25.39
time_per_frame: 0.0426649, fps: 25.268
time_per_frame: 0.0444132, fps: 25.096
time_per_frame: 0.0301468, fps: 25.6007
time_per_frame: 0.0306511, fps: 26.0398
time_per_frame: 0.0486507, fps: 25.6969
time_per_frame: 0.0363112, fps: 25.8121
time_per_frame: 0.0363838, fps: 25.9167
time_per_frame: 0.0372368, fps: 25.9753
time_per_frame: 0.0395601, fps: 25.9317
time_per_frame: 0.0409911, fps: 25.8357
time_per_frame: 0.0315391, fps: 26.2027
time_per_frame: 0.0610273, fps: 25.5891
time_per_frame: 0.0305549, fps: 26.0353
time_per_frame: 0.0324428, fps: 26.3346
time_per_frame: 0.0332571, fps: 26.568
time_per_frame: 0.0345644, fps: 26.7157
time_per_frame: 0.0364294, fps: 26.7616
time_per_frame: 0.0267207, fps: 27.428
time_per_frame: 0.0608278, fps: 26.7412
time_per_frame: 0.0298368, fps: 27.1646
time_per_frame: 0.0322086, fps: 27.4073
time_per_frame: 0.0345973, fps: 27.5009
time_per_frame: 0.0363488, fps: 27.5015
time_per_frame: 0.0360034, fps: 27.5186
time_per_frame: 0.0380489, fps: 27.4413
time_per_frame: 0.0558555, fps: 26.8452
time_per_frame: 0.041204, fps: 26.6842
time_per_frame: 0.0438085, fps: 26.4431
time_per_frame: 0.0453518, fps: 26.1685
time_per_frame: 0.0315358, fps: 26.5149
time_per_frame: 0.0324646, fps: 26.7829
time_per_frame: 0.0502545, fps: 26.3526
time_per_frame: 0.0354437, fps: 26.4689
time_per_frame: 0.0383428, fps: 26.4447
time_per_frame: 0.0379924, fps: 26.4369
time_per_frame: 0.0404568, fps: 26.3295
time_per_frame: 0.0414378, fps: 26.1922
time_per_frame: 0.0427769, fps: 26.0162
time_per_frame: 0.0604424, fps: 25.4243
time_per_frame: 0.0301559, fps: 25.9078
